Plot	SubPlot	TreeFieldNum	Genus	Species	SpeciesLong	Bark	Dawkins	DBH	SLA	LDMC	LT	LA	CC
6	3	345	Eschweilera	decolorans	E decolorans	NA	3A	15.278874536821968	95.5376	0.4848	234.6	72.182	91.8554
6	3	346	Symphonia	globulifera	S globulifera	G	5B	24.03239640687622	92.4972	0.36119999999999997	228.6	24.1004	81.0924
6	3	366	Eschweilera	decolorans	E decolorans	NA	3B	26.419720553254653	86.829	0.4756	241.4	52.608	72.262200000000007
6	3	373	Eschweilera	decolorans	E decolorans	NA	4A	34.854932537125116	89.9378	0.4772	248	78.226	85.8172
6	3	375	Symphonia	sp.1	S sp.1	S	3B	21.008452488130207	122.2624	0.3332	163.8	17.9136	62.6154
6	3	424	Eschweilera	decolorans	E decolorans	NA	3B	29.921129301276356	96.804	0.4454	263.2	87.118	75.0606
6	3	433	Eschweilera	decolorans	E decolorans	NA	3A	16.392959138465237	111.97279999999999	0.4284	221.8	89.022	71.1872
6	3	510	Eschweilera	decolorans	E decolorans	NA	4C	30.716904016735832	81.1256	0.3956	289.2	41.34	51.6174
6	3	531	Eschweilera	decolorans	E decolorans	NA	3B	25.78310078088707	92.1618	0.42319999999999997	250	68.118	79.113
6	3	610	Symphonia	globulifera	S globulifera	G	5B	49.81549718776329	77.9626	0.42419999999999997	195.4	29.86	73.0004
6	3	611	Eschweilera	decolorans	E decolorans	NA	3C	30.876058959827727	136.3142	0.3812	217.2	70.936	94.93599999999999
6	3	616	Eschweilera	coriacea	E coriacea	NA	2B	19.09859317102746	122.96640000000001	0.4154	217.8	52.042	62.2322
6	3	694	Eschweilera	decolorans	E decolorans	NA	3B	29.60281941509256	103.6582	0.42219999999999996	251.2	54.95	58.7526
6	3	782	Eschweilera	decolorans	E decolorans	NA	2C	16.552114081557132	142.151	0.4168	179.4	22.962	68.5892
6	3	794	Eschweilera	sagotiana	E sagotiana	NA	4A	43.926764293363156	60.1122	0.4382	358.8	89.20400000000001	53.7554
6	3	1090	Eschweilera	decolorans	E decolorans	NA	1B	19.894367886486936	87.9448	0.43120000000000003	252.6	77.98	103.5112
6	3	1098	Eschweilera	decolorans	E decolorans	NA	3A	20.53098765885452	128.0888	0.382	215	67.078	63.0194
6	3	2074	Eschweilera	decolorans	E decolorans	NA	2A	13.209860276627326	123.8516	0.4336	210.8	59.15	71.4564
6	3	2201	Eschweilera	coriacea	E coriacea	NA	2A	12.891550390443536	140.2148	0.4084	199.6	57.862	70.6232
6	3	2302	Symphonia	sp.1	S sp.1	S	2B	25.14648100851949	115.3878	0.4706	171.4	24.8524	79.981
6	3	2356	Symphonia	sp.1	S sp.1	S	2B	14.642254764454385	147.3652	0.3804	109.6	27.8964	60.9166
6	3	2800	Symphonia	sp.1	S sp.1	S	2B	12.095775674984058	133.0656	0.3408	138.8	29.1038	78.7522
6	3	2814	Eschweilera	decolorans	E decolorans	NA	2A	12.891550390443536	142.19480000000001	0.4	206	46.928	84.7636
6	3	2890	Eschweilera	coriacea	E coriacea	NA	2C	13.687325105903012	76.4992	0.462	292.2	118.956	88.2176
6	3	2902	Eschweilera	decolorans	E decolorans	NA	1B	12.573240504259745	106.8048	0.4308	229.6	74.602	75.1736
6	4	287	Eschweilera	sagotiana	E sagotiana	NA	3B	24.03239640687622	83.188	0.4306	297.8	69.032	66.8688
6	4	294	Eschweilera	coriacea	E coriacea	NA	2A	13.687325105903012	121.39320000000001	0.3874	233.6	92.44800000000001	72.9862
6	4	305	Eschweilera	decolorans	E decolorans	NA	4A	26.578875496346548	111.0598	0.2508	202.6	80.82600000000001	56.864000000000004
6	4	372	Eschweilera	decolorans	E decolorans	NA	1B	16.552114081557132	118.23140000000001	0.3826	218.6	56.558	70.8682
6	4	379	Eschweilera	decolorans	E decolorans	NA	2C	20.05352282957883	101.7268	0.4378	228.2	59.064	80.6774
6	4	386	Eschweilera	sagotiana	E sagotiana	NA	4A	36.60563691113597	75.9702	0.4362	333.2	55.272	67.6074
6	4	418	Eschweilera	sagotiana	E sagotiana	NA	4A	39.47042588679008	78.6792	0.4832	274.8	73.624	85.0594
6	4	614	Eschweilera	decolorans	E decolorans	NA	2A	16.23380419537334	97.553	0.4456	235.2	81.88799999999999	89.1386
6	4	635	Eschweilera	decolorans	E decolorans	NA	4B	28.3295798703574	84.0345	0.3945	312.25	133.97	66.2245
6	4	649	Symphonia	sp.1	S sp.1	S	5A	37.24225668350355	98.9922	0.3846	224	19.1206	86.5962
6	4	715	Eschweilera	collina	E collina	NA	1B	13.369015219719222	127.8098	0.4018	202.2	45.525999999999996	66.7568
6	4	768	Eschweilera	sagotiana	E sagotiana	NA	2B	23.873241463784325	67.9236	0.4822	328.4	74.342	75.5206
6	4	1053	Eschweilera	sagotiana	E sagotiana	NA	3A	34.854932537125116	64.3796	0.4398	367	106.296	85.6626
6	4	2300	Symphonia	globulifera	S globulifera	G	2A	19.576058000303146	122.12559999999999	0.302	128.8	77.104	82.696
6	4	2304	Eschweilera	sagotiana	E sagotiana	NA	2C	13.528170162811117	95.6148	0.3822	248.8	64.444	52.3316
6	4	2309	Eschweilera	decolorans	E decolorans	NA	2C	17.188733853924713	75.5944	0.4484	321.8	93.792	60.1654
6	4	2501	Eschweilera	decolorans	E decolorans	NA	3A	16.074649252281446	153.68075	0.37779999999999997	198.2	75.3725	61.1848
6	4	2822	Eschweilera	decolorans	E decolorans	NA	2C	12.73239544735164	128.4964	0.4732	187.4	75.658	62.2684
6	4	2864	Symphonia	sp.1	S sp.1	SG	3B	23.71408652069243	92.99	0.3628	239.8	19.2896	103.0268
6	4	2867	Symphonia	sp.1	S sp.1	G	1A	11.777465788800267	137.964	0.3038	152.8	21.6438	68.0732
6	4	2915	Symphonia	sp.1	S sp.1	S	1A	13.050705333535431	147.3028	0.315	157.6	30.2836	69.9858
6	4	2932	Symphonia	globulifera	S globulifera	G	2A	15.597184423005759	105.3748	0.275	183.8	41.3	77.7796
6	4	2941	Symphonia	globulifera	S globulifera	G	2B	13.209860276627326	134.6856	0.3398	197.6	48.3672	66.1062
6	4	2955	Eschweilera	coriacea	E coriacea	NA	2A	11.936620731892162	90.7904	0.41300000000000003	288.2	126.108	85.8754
6	4	2968	Symphonia	globulifera	S globulifera	SG	1A	10.822536130248894	155.8852	0.271	170.4	66.6044	65.0088
6	4	2980	Eschweilera	coriacea	E coriacea	NA	2C	11.140846016432684	60.0156	0.4844	344	136.648	81.2974
6	4	2982	Eschweilera	coriacea	E coriacea	NA	2A	11.30000095952458	118.82679999999999	0.43120000000000003	211.6	173.982	88.615
7	1	36	Symphonia	Indet.	S Indet.	S	5B	50.92958178940656	68.8288	0.4506	335	16.0362	87.9734
7	1	322	Symphonia	Indet.	S Indet.	S	5A	41.539440146984724	110.3268	0.34859999999999997	270.8	18.5018	75.1836
7	1	388	Symphonia	Indet.	S Indet.	S	5A	37.40141162659544	78.522	0.4008	332.4	14.8142	90.4212
7	1	2051	Symphonia	Indet.	S Indet.	S	4A	22.440846975957264	85.3942	0.39540000000000003	324	11.9158	71.81400000000001
7	1	2150	Symphonia	Indet.	S Indet.	S	3A	32.46760839074668	86.6436	0.3736	306.4	19.331	85.1836
7	1	2370	Symphonia	Indet.	S Indet.	S	3A	18.14366351247609	104.1742	0.3346	305.2	14.1892	82.4162
7	2	298	Symphonia	Indet.	S Indet.	S	5B	29.60281941509256	82.2504	0.4162	321.4	7.3106	96.7474
7	2	510	Symphonia	Indet.	S Indet.	S	4A	23.873241463784325	125.57600000000001	0.3346	250.2	15.623	83.3222
